Window size,Player,Rando time (ms),Expy time (ms)
640000,As_EV_NHM_4,1186.048,1027.918
320000,As_EV_NHM_4,1150.235,995.373
160000,As_EV_NHM_4,1157.621,1005.419
80000,As_EV_NHM_4,1152.881,994.647
40000,As_EV_NHM_4,1137.666,985.341
20000,As_EV_NHM_4,957.060,888.601
10000,As_EV_NHM_4,1069.542,852.125
5000,As_EV_NHM_4,1100.382,740.307
2500,As_EV_NHM_4,1125.980,803.434
1250,As_EV_NHM_4,1110.808,819.823
625,As_EV_NHM_4,1127.201,794.269
312,As_EV_NHM_4,1084.234,818.080
156,As_EV_NHM_4,1093.911,831.193
640000,As_MF_MFM_10,646.106,1051.199
320000,As_MF_MFM_10,677.138,1066.110
160000,As_MF_MFM_10,671.509,1038.255
80000,As_MF_MFM_10,717.084,1036.660
40000,As_MF_MFM_10,655.417,1077.562
20000,As_MF_MFM_10,681.999,1105.560
10000,As_MF_MFM_10,674.761,1092.379
5000,As_MF_MFM_10,661.741,1146.681
2500,As_MF_MFM_10,674.480,1074.483
1250,As_MF_MFM_10,687.419,1009.964
625,As_MF_MFM_10,672.442,1111.056
312,As_MF_MFM_10,683.672,1065.337
156,As_MF_MFM_10,661.511,1165.599
