Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,2,1.0,599715,256106,434495,550729,695983,2104499,167.185,75.635,118.593,147.887,191.002,719.699
MAsT_IEV_MI_5,2,1.1,602877,252727,428260,538927,692757,2110693,165.323,75.865,116.692,142.568,189.638,696.785
MAsT_IEV_MI_5,2,1.2,586171,237192,425928,534841,683056,1967797,163.656,78.025,115.474,141.365,185.674,577.982
MAsT_IEV_MI_5,2,1.5,438995,255886,376413,423834,490201,853514,122.164,75.816,103.947,117.559,133.460,245.698
MAsT_IEV_MI_5,2,1.75,421917,243175,356902,411819,472034,995651,117.518,71.991,101.132,113.208,128.816,288.397
MAsT_IEV_MI_5,2,2.0,410286,233809,354228,397643,454045,1095818,114.130,71.037,99.313,110.047,124.531,249.621
MAsT_IEV_MI_5,2,2.25,404433,238774,349312,392301,443596,1209518,112.607,71.991,98.215,109.402,122.718,266.957
MAsT_IEV_MI_5,2,2.5,394599,232229,343209,385812,435594,781721,110.046,72.653,96.755,107.246,120.621,197.263
MAsT_IEV_MI_5,2,2.75,391821,248011,338769,381652,429034,772337,109.011,73.019,96.286,105.706,119.325,218.042
MAsT_IEV_MI_5,2,3.0,388432,219985,340290,383512,426602,1048191,107.975,70.959,96.568,105.937,116.932,252.226
MAsT_IEV_MI_5,2,3.5,387949,245305,338824,379815,424176,706918,108.837,71.650,96.606,106.578,118.834,187.092
MAsT_IEV_MI_5,2,4.0,385320,247616,337528,374205,422337,751071,106.611,75.515,95.116,104.079,115.797,186.265
MAsT_IEV_MI_5,2,4.5,383966,244311,336799,375552,418558,759953,105.802,71.229,94.680,103.434,114.232,179.925
MAsT_IEV_MI_5,2,5.0,384591,221746,333281,377310,425285,825361,105.192,71.252,93.988,103.724,114.125,198.002
MAsT_IEV_MI_5,2,6.0,385763,242257,337959,377654,423377,735016,105.307,65.299,94.579,102.873,114.016,162.079
MAsT_IEV_MI_5,2,7.0,383208,244783,334877,372339,420387,675841,104.703,70.455,93.696,102.592,113.729,165.299
MAsT_IEV_MI_5,2,8.0,382501,245864,336553,375261,418248,1035086,104.513,69.739,93.889,102.351,112.640,202.541
MAsT_IEV_MI_5,2,9.0,379817,242328,339535,376247,414093,754063,103.500,70.967,94.596,102.854,111.250,179.835
